runtime,theme,size,seed,variant,days,cpu_ms,wall_ms
node,canyon,128,7,combined,73,9575,9997.777999999234
node,canyon,128,8,baseline,73,11096,11756.67240000097
node,canyon,128,8,water-sparse,73,10313,10760.736899999669
node,canyon,128,8,soil-cache,73,10847,11428.488300001249
node,canyon,128,8,soil-saturation,73,12355,12948.79579999973
node,canyon,128,8,water-wasm,73,9267,9853.997299999464
node,canyon,128,8,combined,73,9625,10268.3143999991
node,canyon,128,9,baseline,73,11530,12410.762400001287
node,canyon,128,9,water-sparse,73,10923,11544.070599999046
node,canyon,128,9,soil-cache,73,10952,11989.902500001248
node,canyon,128,9,soil-saturation,73,12528,13256.777799999807
node,canyon,128,9,water-wasm,73,9829,10431.216900001047
node,canyon,128,9,combined,73,9530,10056.452999997651
node,canyon,256,1,baseline,73,41190,42345.74749999773
node,canyon,256,1,water-sparse,73,36942,38108.52250000741
node,canyon,256,1,soil-cache,73,38268,39656.2220999999
node,canyon,256,1,soil-saturation,73,45905,47286.18569999654
node,canyon,256,1,water-wasm,73,34593,35416.280699994415
node,canyon,256,1,combined,73,34948,35569.3685999969
node,canyon,256,2,baseline,73,40665,41677.841100000776
node,canyon,256,2,water-sparse,73,35747,36777.67280000448
node,canyon,256,2,soil-cache,73,38061,39472.069799998775
node,canyon,256,2,soil-saturation,73,44766,45987.583900004625
node,canyon,256,2,water-wasm,73,34192,34919.54459999595
node,canyon,256,2,combined,73,34046,34774.39879999962
node,canyon,256,3,baseline,73,45845,47637.268199997954
node,canyon,256,3,water-sparse,73,42280,43749.05810000189
node,canyon,256,3,soil-cache,73,44013,45371.02759999968
node,canyon,256,3,soil-saturation,73,50861,52570.26159999799
node,canyon,256,3,water-wasm,73,38441,39861.19609999657
node,canyon,256,3,combined,73,38580,39582.03819999844
node,canyon,96,1,baseline,73,6889,6987.271700000028
node,canyon,96,1,water-sparse,73,6389,6420.150600000027
node,canyon,96,1,soil-cache,73,6284,6401.59519999999
node,canyon,96,1,soil-saturation,73,7219,7335.233200000013
node,canyon,96,1,water-wasm,73,5531,5597.646100000024
node,canyon,96,1,combined,73,5344,5471.540600000033
node,delta,128,1,baseline,73,27059,29326.222399998456
node,delta,128,1,water-sparse,73,24514,27145.319300001487
node,delta,128,1,soil-cache,73,25814,27751.05429999903
node,delta,128,1,soil-saturation,73,26941,29148.911699998192
node,delta,128,1,water-wasm,73,22160,23810.091299998574
node,delta,128,1,combined,73,18822,20828.13250000123
node,delta,128,10,baseline,73,26958,29297.369800008833
node,delta,128,10,water-sparse,73,25001,26448.246199997142
node,delta,128,10,soil-cache,73,25142,26541.194599999115
node,delta,128,10,soil-saturation,73,26816,28137.676799994893
node,delta,128,10,water-wasm,73,22610,23715.401600003242
node,delta,128,10,combined,73,19266,20745.819200001657
node,delta,128,11,baseline,73,29013,30337.84390000999
node,delta,128,11,water-sparse,73,26436,27571.88139999658
node,delta,128,11,soil-cache,73,27657,28993.17250000406
node,delta,128,11,soil-saturation,73,28715,30006.637000006624
node,delta,128,11,water-wasm,73,23669,25259.850699995644
node,delta,128,11,combined,73,20221,21472.217600001022
node,delta,128,12,baseline,73,31021,32608.975499995984
node,delta,128,12,water-sparse,73,28071,29501.40870000329
node,delta,128,12,soil-cache,73,29048,30178.09309999831
node,delta,128,12,soil-saturation,73,30222,31952.149599990807
node,delta,128,12,water-wasm,73,24737,25832.908599995077
node,delta,128,12,combined,73,21110,22294.459599995054
node,delta,128,13,baseline,73,25778,27747.66209999565
node,delta,128,13,water-sparse,73,23293,25152.741500002332
node,delta,128,13,soil-cache,73,24081,26094.134600005113
node,delta,128,13,soil-saturation,73,25702,28623.155299994163
node,delta,128,13,water-wasm,73,21486,23706.353100002743
node,delta,128,13,combined,73,18377,19889.51189999841
node,delta,128,14,baseline,73,26672,27550.374500002712
node,delta,128,14,water-sparse,73,24550,25597.24029999692
node,delta,128,14,soil-cache,73,24981,25748.68720000051
node,delta,128,14,soil-saturation,73,26600,27305.460100002587
node,delta,128,14,water-wasm,73,22121,22894.037200003862
node,delta,128,14,combined,73,18701,19486.340700001456
node,delta,128,15,baseline,73,25450,26437.746199998073
node,delta,128,15,water-sparse,73,22746,23560.391599995084
node,delta,128,15,soil-cache,73,23966,24967.067099999636
node,delta,128,15,soil-saturation,73,25229,26258.313899992965
node,delta,128,15,water-wasm,73,20939,21620.15050000511
node,delta,128,15,combined,73,17829,18711.570900002494
node,delta,128,16,baseline,73,29956,31045.093699999154
node,delta,128,16,water-sparse,73,27078,28042.748699992895
node,delta,128,16,soil-cache,73,28203,29255.78559999913
node,delta,128,16,soil-saturation,73,29281,30282.36840000283
node,delta,128,16,water-wasm,73,24033,24777.050400000066
node,delta,128,16,combined,73,20158,20882.990699999966
node,delta,128,17,baseline,73,23191,24392.668700003996
node,delta,128,17,water-sparse,73,21003,22287.42970000673
node,delta,128,17,soil-cache,73,21532,23000.43719999958
node,delta,128,17,soil-saturation,73,23503,24717.661300000735
node,delta,128,17,water-wasm,73,19092,20342.502200003713
node,delta,128,17,combined,73,16515,17673.449899992906
node,delta,128,18,baseline,73,26869,27559.451200003736
node,delta,128,18,water-sparse,73,24078,24909.558000002988
node,delta,128,18,soil-cache,73,25123,25919.68030000478
node,delta,128,18,soil-saturation,73,26782,27708.341199997813
node,delta,128,18,water-wasm,73,22249,22891.75960000418
node,delta,128,18,combined,73,19063,19524.770699997433
node,delta,128,19,baseline,73,25656,26720.567199998535
node,delta,128,19,water-sparse,73,22969,23810.124299999326
node,delta,128,19,soil-cache,73,24360,25222.102700003423
node,delta,128,19,soil-saturation,73,25578,26511.519300003536
node,delta,128,19,water-wasm,73,20858,21593.26729999855
node,delta,128,19,combined,73,18156,18759.566200002097
node,delta,128,2,baseline,73,25249,27443.667200008407
node,delta,128,2,water-sparse,73,23143,26343.531200001948
node,delta,128,2,soil-cache,73,24065,26736.275699995458
node,delta,128,2,soil-saturation,73,25359,27922.708099999465
node,delta,128,2,water-wasm,73,21291,22663.900000000373
node,delta,128,2,combined,73,18610,19660.535300001502
node,delta,128,20,baseline,73,27723,29761.311499998905
node,delta,128,20,water-sparse,73,25488,27934.461499998346
node,delta,128,20,soil-cache,73,25799,27536.061299999245
node,delta,128,20,soil-saturation,73,27347,29303.73399999924
node,delta,128,20,water-wasm,73,22574,24430.422000000253
node,delta,128,20,combined,73,19670,20725.91679999791
node,delta,128,21,baseline,73,32138,33301.50300000515
node,delta,128,21,water-sparse,73,28652,30036.321900000796
node,delta,128,21,soil-cache,73,29922,31335.3245000029
node,delta,128,21,soil-saturation,73,31703,32993.592299996875
node,delta,128,21,water-wasm,73,25452,26381.460300002247
node,delta,128,21,combined,73,21158,22152.386300000362
node,delta,128,22,baseline,73,27319,28556.979999997653
node,delta,128,22,water-sparse,73,24840,25405.49800000526
node,delta,128,22,soil-cache,73,26143,27027.02449999936
node,delta,128,22,soil-saturation,73,27062,28127.98050000239
node,delta,128,22,water-wasm,73,23087,24067.7883999981
node,delta,128,22,combined,73,19422,20430.233699996956
node,delta,128,23,baseline,73,27808,29261.356100002304
node,delta,128,23,water-sparse,73,25518,27023.566099995747
node,delta,128,23,soil-cache,73,26109,27398.14269999694
node,delta,128,23,soil-saturation,73,27406,28548.72560000606
node,delta,128,23,water-wasm,73,22236,23636.72889999766
node,delta,128,23,combined,73,19695,20829.559900001623
node,delta,128,24,baseline,73,26628,28950.61249999702
node,delta,128,24,water-sparse,73,24672,27058.300200001337
node,delta,128,24,soil-cache,73,25124,27040.157900003716
node,delta,128,24,soil-saturation,73,27109,28990.710799997672
node,delta,128,24,water-wasm,73,22217,24177.360499999486
node,delta,128,24,combined,73,19293,20963.713800000027
node,delta,128,25,baseline,73,28140,29476.25160000939
node,delta,128,25,water-sparse,73,25066,26376.862599999644
node,delta,128,25,soil-cache,73,26206,27345.155700001866
node,delta,128,25,soil-saturation,73,27646,28962.191899999976
node,delta,128,25,water-wasm,73,22253,23354.33189999964
node,delta,128,25,combined,73,18942,20177.171200003475
node,delta,128,26,baseline,73,27078,28362.342400001362
node,delta,128,26,water-sparse,73,25216,26259.639000003226
node,delta,128,26,soil-cache,73,25216,26023.71660000272
node,delta,128,26,soil-saturation,73,26829,27602.6379000023
node,delta,128,26,water-wasm,73,22407,23057.36219999101
node,delta,128,26,combined,73,19266,19956.107999996282
node,delta,128,27,baseline,73,26579,27666.300499999896
